"","	Going_Out","0","Brushing_Teeth","Changing_Clothes","Having_Breakfast","Having_Conversation","Having_Dinner","Having_Shower","Having_Snack","Laundry","Listening_to_Music","Napping","Other","Preparing_Breakfast","Preparing_Dinner","Reading_Book","Shaving","Sleeping","Studying","Talking_on_the_Phone","Toileting","Using_Internet","Washing_Dishes","Watching_TV"
"	Going_Out",298703,0,192,1514,0,0,0,2748,3504,4,0,361,4340,0,1258,0,0,0,0,6171,1488,5425,315,18984
"0",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brushing_Teeth",8406,0,433,348,0,0,0,0,75,0,0,1092,980,0,0,240,0,5074,0,0,0,1228,0,1198
"Changing_Clothes",11482,0,223,695,0,0,0,0,0,499,0,0,406,0,260,0,0,0,0,908,140,102,0,1650
"Cleaning",4146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Having_Breakfast",43536,0,97,0,945,0,0,0,0,0,0,648,51,0,0,0,0,0,0,516,104,0,0,2881
"Having_Conversation",4,0,0,373,0,13223,0,0,0,0,0,0,4,343,0,0,0,675,14,26,12,1133,0,60
"Having_Dinner",4407,0,0,0,0,0,16131,0,8,0,0,0,0,0,37,761,0,0,0,104,0,76,895,1968
"Having_Guest",1572,0,0,93,0,0,0,0,731,0,0,0,93,0,0,0,496,0,0,527,112,1379,0,991
"Having_Lunch",21375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,1511
"Having_Shower",25479,0,0,851,0,7,0,0,0,0,0,0,293,0,356,759,0,1831,0,1870,0,0,0,5915
"Having_Snack",9175,0,0,216,0,0,0,0,2200,0,0,0,319,0,0,0,0,2071,0,742,66,2117,691,3590
"Laundry",4108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listening_to_Music",7975,0,0,0,0,0,865,0,0,0,0,0,0,0,395,0,0,4544,0,0,0,0,198,420
"Napping",14245,0,0,237,0,0,0,1524,357,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0
"Other",40545,0,376,453,0,9,0,1085,1415,0,0,1746,3401,0,1681,0,418,493,426,1091,624,2159,210,3856
"Preparing_Breakfast",29828,0,0,0,0,0,0,0,0,0,0,255,381,0,0,0,0,0,0,1181,0,693,0,1778
"Preparing_Dinner",8304,0,0,361,0,0,281,0,0,0,0,1239,0,0,15000,1196,0,0,0,1146,361,1662,0,4116
"Preparing_Lunch",26029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,168,0,2031
"Reading_Book",18690,0,253,364,0,17,0,3637,1252,0,0,3513,1024,0,408,1350,0,0,776,4609,1157,4278,0,13651
"Sleeping",253006,0,4501,10231,538,19,325,1955,5578,0,0,37012,4279,505,0,3784,11146,488730,0,458,27320,0,839,3130
"Studying",106611,0,286,2133,0,13,0,1981,1201,0,0,5123,2007,0,0,188,0,88,0,2586,795,5424,165,8843
"Talking_on_the_Phone",57427,0,951,459,0,14,0,1640,2553,0,0,4322,2027,0,522,1017,0,3177,450,4256,1094,13660,641,21193
"Toileting",42681,0,366,118,7,0,0,0,726,0,0,3084,1031,176,424,161,0,1894,0,490,0,1257,551,7964
"Using_Internet",150481,0,1468,1602,0,14,115,3017,8721,483,286,13240,3288,0,3419,1069,770,27858,664,7064,3777,17360,1593,43391
"Washing_Dishes",16430,0,198,250,0,0,209,0,0,0,0,290,189,0,0,230,129,189,0,389,186,570,1904,2454
"Watching_TV",162035,0,1393,914,0,5,4,2498,5332,0,0,16754,912,0,876,3922,422,3090,5084,10254,4703,19154,895,65157
