"","Var1","Freq"
"1","0",30
"2","Brushing Teeth",1419
"3","Changing Clothes",8822
"4","Going Out",1416389
"5","Having Breakfast",13873
"6","Having Conversation",17718
"7","Having Dinner",2796
"8","Having Lunch",1934
"9","Having Shower",4524
"10","Having Snack",145
"11","Napping",13178
"12","Other",34667
"13","Preparing Breakfast",137
"14","Reading Book",74922
"15","Shaving",1576
"16","Sleeping",725953
"17","Studying",7814
"18","Talking on the Phone",148
"19","Toileting",19799
"20","Using Internet",104093
"21","Watching TV",142063
