"","Var1","Freq"
"1","0",30
"2","Other",59988
"3","	Going_Out",345007
"4","Preparing_Breakfast",34116
"5","Having_Breakfast",48778
"6","Preparing_Lunch",28903
"7","Having_Lunch",23353
"8","Preparing_Dinner",33666
"9","Having_Dinner",24387
"10","Washing_Dishes",23617
"11","Having_Snack",21187
"12","Sleeping",853356
"13","Watching_TV",303404
"14","Studying",137444
"15","Having_Shower",37361
"16","Toileting",60930
"17","Napping",16460
"18","Using_Internet",289680
"19","Reading_Book",54979
"20","Laundry",4108
"21","Brushing_Teeth",19074
"22","Talking_on_the_Phone",115403
"23","Listening_to_Music",14397
"24","Cleaning",4146
"25","Having_Conversation",15867
"26","Having_Guest",5994
"27","Changing_Clothes",16365
