"","0","Other","Going Out","Preparing Breakfast","Having Breakfast","Having Lunch","Having Dinner","Having Snack","Sleeping","Watching TV","Studying","Having Shower","Toileting","Napping","Using Internet","Reading Book","Shaving","Brushing Teeth","Talking on the Phone","Having Conversation","Changing Clothes"
"0",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other",0,20370,12248,0,386,175,17,0,2101,2552,0,2437,3769,323,3712,4472,320,336,0,3,2812
"Going Out",0,0,1048632,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Preparing Breakfast",0,1047,2100,0,107,0,0,0,5079,0,0,0,721,303,4062,1665,0,0,0,0,0
"Having Breakfast",0,248,2331,0,11656,0,0,0,336,4,403,0,3,0,6,13,0,0,0,0,0
"Preparing Lunch",0,0,2407,0,0,5,0,0,0,0,4773,0,81,0,2086,835,0,0,0,0,0
"Having Lunch",0,3,2594,0,0,1754,0,0,0,0,4,0,6,0,3,0,0,0,0,0,0
"Preparing Dinner",0,731,2978,0,0,0,4,0,0,823,0,0,99,0,2565,255,0,0,0,3,49
"Having Dinner",0,264,2339,0,0,0,2275,0,0,0,0,0,93,0,3,0,0,0,0,0,0
"Washing Dishes",0,346,170,0,7,0,0,0,0,40,713,0,96,0,147,197,79,124,0,4,0
"Having Snack",0,85,1580,0,0,0,0,0,102,36,0,0,116,0,180,573,0,0,0,0,47
"Sleeping",0,6278,141287,137,736,0,0,0,692499,6056,0,0,5917,5840,30276,8533,1177,276,0,0,1041
"Watching TV",0,340,78340,0,3,0,393,0,39,129468,0,0,1462,0,2261,3404,0,0,0,6,219
"Studying",0,161,108970,0,535,0,0,145,20173,0,1801,0,4524,5146,43505,41272,0,241,148,0,179
"Having Shower",0,677,1370,0,0,0,0,0,0,537,0,4,0,624,1101,1253,0,0,0,0,750
"Toileting",0,1334,3224,0,52,0,0,0,2681,713,120,0,17,407,2213,1425,0,0,0,117,744
"Using Internet",0,125,512,0,0,0,107,0,0,700,0,0,598,0,3214,0,0,265,0,0,345
"Reading Book",0,532,1761,0,388,0,0,0,2298,0,0,750,1353,0,7739,5803,0,0,0,0,342
"Laundry",0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,1259,0,0,0,0,0
"Brushing Teeth",0,1292,557,0,0,0,0,0,286,493,0,0,0,0,0,609,0,61,0,4,665
"Talking on the Phone",0,0,0,0,0,0,0,0,61,0,0,0,9,0,0,0,0,0,0,0,0
"Listening to Music",0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cleaning",0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,2505,0,0,0,0,0
"Having Conversation",0,92,0,0,3,0,0,0,0,12,0,0,121,0,1,11,0,0,0,17581,12
"Changing Clothes",0,742,1954,0,0,0,0,0,298,629,0,1333,668,535,1019,838,0,116,0,0,1617
