"","Var1","Freq"
"1","0",30
"2","Other",56033
"3","Going Out",1048635
"4","Preparing Breakfast",15084
"5","Having Breakfast",15000
"6","Preparing Lunch",10187
"7","Having Lunch",4364
"8","Preparing Dinner",7507
"9","Having Dinner",4974
"10","Washing Dishes",1923
"11","Having Snack",2719
"12","Sleeping",900053
"13","Watching TV",215935
"14","Studying",226800
"15","Having Shower",6316
"16","Toileting",13047
"17","Using Internet",5866
"18","Reading Book",20966
"19","Laundry",1855
"20","Brushing Teeth",3967
"21","Talking on the Phone",70
"22","Listening to Music",439
"23","Cleaning",2648
"24","Having Conversation",17833
"25","Changing Clothes",9749
