"Activities","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Brushing Teeth",0,114,176,375,155,0,254,0,156,221,240,0,92,0,76,244,0,242,174,0,541,0,112,102,109,0,97,257,117,113
"Changing Clothes",0,205,134,317,566,325,0,292,0,344,319,562,290,167,329,315,124,713,368,434,1087,112,324,236,527,380,157,365,352,405
"Cleaning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2648,0,0,0,0,0,0,0,0,0
"Going Out",0,41392,35609,49209,52112,32040,47689,0,0,37587,29173,36065,42484,1127,0,46426,0,45514,44791,40198,19830,68209,53165,43106,43061,47075,54566,40027,55168,43012
"Having Breakfast",1075,394,1180,635,0,0,633,429,999,809,682,704,542,643,717,0,336,0,0,387,703,0,612,740,416,0,503,1089,0,772
"Having Conversation",19,5144,270,0,131,0,0,0,1416,0,0,0,0,0,0,0,2471,160,346,0,0,0,0,0,1691,971,0,0,0,5214
"Having Dinner",0,528,0,0,0,0,0,291,0,0,375,0,0,657,456,0,541,0,0,560,0,877,0,689,0,0,0,0,0,0
"Having Lunch",736,0,0,0,0,0,0,1717,445,0,0,0,0,277,600,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0
"Having Shower",0,0,0,688,0,0,0,0,0,0,413,536,0,0,549,141,0,754,0,0,1253,0,0,0,0,624,0,537,821,0
"Having Snack",278,0,0,0,0,0,0,425,142,102,0,0,33,0,658,252,0,0,0,0,185,0,0,0,180,0,0,0,464,0
"Laundry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,1259,0,0,0,0,0,0,0,0,0
"Listening to Music",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0
"Other",2010,1510,5685,1056,1136,484,7212,3851,1970,146,1182,3829,1389,1303,1435,2264,130,1485,452,318,1777,1084,972,1330,1206,1297,392,2725,2923,3480
"Preparing Breakfast",827,717,838,137,0,0,502,547,860,806,953,403,311,583,659,0,946,0,0,978,778,0,954,896,357,0,365,506,0,1161
"Preparing Dinner",0,731,0,0,0,0,0,844,0,0,824,0,0,768,448,0,221,0,0,94,0,2447,0,777,258,0,0,95,0,0
"Preparing Lunch",4773,0,0,0,0,0,0,1357,921,0,0,0,0,364,686,0,2086,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reading Book",0,0,0,2085,1161,0,0,512,0,1926,854,0,630,619,0,0,1443,0,0,2042,9258,0,0,0,0,0,436,0,0,0
"Sleeping",38641,32349,35632,29114,24935,43944,29731,36683,35234,33467,32366,33088,33565,32314,30140,27522,31278,37304,36102,27349,35612,0,29153,29417,27826,30872,27354,29012,0,30049
"Studying",31154,0,0,1808,1245,0,0,30169,15061,10032,2741,4279,2958,22914,39689,1178,36238,0,0,362,4064,0,696,0,4857,0,0,5293,12062,0
"Talking on the Phone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
"Toileting",826,560,295,278,397,472,378,795,700,560,372,414,465,610,480,285,559,227,454,481,769,141,358,364,461,223,253,222,304,344
"Using Internet",0,0,0,598,0,0,0,0,0,0,0,0,0,0,512,0,0,0,516,0,2218,0,0,2022,0,0,0,0,0,0
"Washing Dishes",859,42,98,99,0,0,0,170,0,0,0,0,0,0,0,0,94,0,0,0,147,46,53,0,79,0,155,0,0,81
"Watching TV",5201,2713,6482,0,4561,9134,0,8317,28495,399,15905,6519,3640,24053,8369,7772,9343,0,3196,12757,4270,13483,0,6720,5371,4957,2051,6271,14188,1768
