"Activities","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Brushing Teeth",0,207,0,241,0,0,190,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,265,0,0,240,0,0,0
"Changing Clothes",0,358,155,306,585,426,216,493,206,281,234,338,0,0,0,47,0,1150,338,280,171,90,473,826,586,251,266,374,70,302
"Going Out",0,41392,35609,49209,52112,41898,48058,58482,1395,37590,46552,36065,86399,86399,86399,76152,0,45514,44791,48395,19830,68209,53165,43106,43061,47080,54566,40024,81925,43012
"Having Breakfast",1071,402,1174,755,0,0,640,736,972,838,690,683,0,0,0,0,535,0,0,436,828,0,612,771,511,0,603,1097,0,519
"Having Conversation",9,5131,264,0,59,0,0,0,1406,0,0,0,0,0,0,0,2474,157,353,0,0,0,0,0,1697,974,0,0,0,5194
"Having Dinner",0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,826,0,813,393,0,0,0,0,0
"Having Lunch",907,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0
"Having Shower",0,0,0,0,1336,0,0,0,0,0,0,699,0,0,0,0,0,1335,0,0,0,0,0,0,0,0,0,0,0,1154
"Having Snack",145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Napping",5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5109,2816,0,0,0,0
"Other",297,1845,3656,1020,904,521,3639,31,2342,237,403,7375,0,0,0,1698,237,580,676,173,642,433,2809,0,656,724,747,360,77,2585
"Preparing Breakfast",0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reading Book",26886,7549,3826,0,0,0,69,0,8453,0,1060,5030,0,0,0,0,0,0,0,0,19183,0,0,0,443,0,0,2423,0,0
"Shaving",0,0,0,0,0,0,0,696,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0
"Sleeping",37142,24970,28323,29587,23860,30291,30431,25716,34110,44775,33088,25134,0,0,0,1757,41185,31411,32344,29643,35473,0,24460,29111,20760,24390,23805,33214,0,30973
"Studying",7291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523
"Talking on the Phone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toileting",2331,519,1276,915,130,1168,170,108,2743,61,1273,291,0,0,0,130,955,246,448,222,2506,1056,936,355,287,244,453,611,111,254
"Using Internet",0,1116,5623,4366,3445,0,2986,0,5850,2233,3099,3588,0,0,0,0,30678,6006,348,1483,6302,4683,3944,2110,7589,4969,3675,0,0,0
"Watching TV",5067,2409,6493,0,3968,12095,0,0,28475,384,0,6439,0,0,0,6615,9344,0,7101,5767,1464,11102,0,9042,4908,4951,2044,8296,4216,1883
